qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
FBtr0081301	2L	100.000	412	0	0	1	412	19959280	19959691	0.0	817
FBtr0081301	2L	100.000	138	0	0	412	549	19959750	19959887	2.42e-72	274
FBtr0081301	2L	100.000	21	0	0	312	332	863118	863098	0.016	42.1
FBtr0081301	2L	100.000	17	0	0	471	487	1072755	1072739	3.9	34.2
FBtr0081301	2L	95.238	21	1	0	529	549	9997956	9997936	3.9	34.2
FBtr0081301	2L	100.000	17	0	0	456	472	18796763	18796779	3.9	34.2
FBtr0081301	2L	100.000	16	0	0	27	42	1852425	1852410	15	32.2
FBtr0081301	2L	95.000	20	1	0	443	462	2742352	2742371	15	32.2
FBtr0081301	2L	100.000	16	0	0	157	172	2814092	2814107	15	32.2
FBtr0081301	2L	100.000	16	0	0	68	83	3087507	3087522	15	32.2
FBtr0081301	2L	100.000	16	0	0	236	251	4840893	4840878	15	32.2
FBtr0081301	2L	100.000	16	0	0	504	519	6483045	6483030	15	32.2
FBtr0081301	2L	100.000	16	0	0	438	453	7378547	7378562	15	32.2
FBtr0081301	2L	100.000	16	0	0	370	385	10274552	10274537	15	32.2
FBtr0081301	2L	100.000	16	0	0	495	510	14158340	14158355	15	32.2
FBtr0081301	2L	94.737	19	1	0	24	42	423650	423632	61	30.2
FBtr0081301	2L	100.000	15	0	0	531	545	985876	985890	61	30.2
FBtr0081301	2L	100.000	15	0	0	30	44	2160377	2160391	61	30.2
FBtr0081301	2L	100.000	15	0	0	228	242	2711826	2711812	61	30.2
FBtr0081301	2L	100.000	15	0	0	453	467	3528897	3528883	61	30.2
FBtr0081301	2L	100.000	15	0	0	399	413	4632441	4632455	61	30.2
FBtr0081301	2L	100.000	15	0	0	230	244	4848495	4848509	61	30.2
FBtr0081301	2L	94.737	19	1	0	14	32	5913635	5913653	61	30.2
FBtr0081301	2L	100.000	15	0	0	462	476	5936223	5936237	61	30.2
FBtr0081301	2L	94.737	19	1	0	22	40	6009049	6009067	61	30.2
FBtr0081301	2L	100.000	15	0	0	435	449	9535142	9535156	61	30.2
FBtr0081301	2L	100.000	15	0	0	101	115	9896667	9896653	61	30.2
FBtr0081301	2L	100.000	15	0	0	463	477	10490689	10490675	61	30.2
FBtr0081301	2L	100.000	15	0	0	350	364	11983924	11983910	61	30.2
FBtr0081301	2L	100.000	15	0	0	28	42	13793707	13793693	61	30.2
FBtr0081301	2L	91.304	23	2	0	444	466	16266976	16266954	61	30.2
FBtr0081301	2L	100.000	15	0	0	29	43	16784799	16784813	61	30.2
FBtr0081301	2L	100.000	15	0	0	356	370	17026583	17026569	61	30.2
FBtr0081301	2L	100.000	15	0	0	514	528	17738039	17738025	61	30.2
FBtr0081301	2L	100.000	15	0	0	458	472	18753142	18753156	61	30.2
FBtr0081301	2L	100.000	15	0	0	434	448	19781320	19781306	61	30.2
FBtr0081301	2L	94.737	19	1	0	271	289	20877336	20877318	61	30.2
FBtr0081301	2L	100.000	15	0	0	262	276	22198863	22198877	61	30.2
FBtr0081301	2L	100.000	15	0	0	262	276	22280097	22280083	61	30.2
FBtr0081301	2L	100.000	14	0	0	63	76	358531	358544	240	28.2
