qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
FBtr0333799	X	100.000	804	0	0	484	1287	12758855	12758052	0.0	1451
FBtr0333799	X	100.000	202	0	0	26	227	12759912	12759711	1.62e-99	365
FBtr0333799	X	100.000	151	0	0	224	374	12759610	12759460	7.88e-72	273
FBtr0333799	X	100.000	117	0	0	369	485	12759038	12758922	2.26e-53	212
FBtr0333799	X	100.000	25	0	0	1	25	12760373	12760349	0.002	46.4
FBtr0333799	X	85.714	35	4	1	478	512	19516970	19516937	1.0	38.3
FBtr0333799	X	95.455	22	1	0	61	82	2699044	2699065	3.6	36.5
FBtr0333799	X	85.294	34	4	1	442	474	10934502	10934469	3.6	36.5
FBtr0333799	X	82.353	34	6	0	1145	1178	3889012	3889045	3.6	35.6
FBtr0333799	2L	69.963	1072	317	3	40	1108	12453715	12454784	4.35e-132	473
FBtr0333799	2L	67.939	131	42	0	1142	1272	12454794	12454924	5.69e-04	48.2
FBtr0333799	Y	97.030	202	6	0	26	227	3059476	3059275	2.26e-91	338
FBtr0333799	Y	97.030	202	6	0	26	227	3231314	3231515	2.26e-91	338
FBtr0333799	Y	96.535	202	7	0	26	227	3267533	3267332	9.59e-90	334
FBtr0333799	Y	95.395	152	3	1	223	374	3267236	3267089	1.33e-62	242
FBtr0333799	Y	94.558	147	4	1	228	374	3059204	3059062	2.94e-58	229
FBtr0333799	Y	92.958	142	10	0	26	167	3091869	3091728	2.26e-53	212
FBtr0333799	Y	92.958	142	10	0	26	167	3205825	3205966	2.26e-53	212
FBtr0333799	Y	91.156	147	3	2	228	374	3231586	3231722	9.61e-52	207
FBtr0333799	211000022280020	96.535	202	7	0	26	227	54	255	9.59e-90	334
FBtr0333799	211000022280020	95.395	152	3	1	223	374	351	498	1.33e-62	242
FBtr0333799	211000022278772	95.513	156	6	1	26	181	879	1033	1.10e-63	247
FBtr0333799	211000022278772	92.000	25	2	0	1	25	473	497	1.0	37.4
FBtr0333799	211000022279224	92.958	142	10	0	26	167	2339	2198	2.26e-53	212
FBtr0333799	3R	91.667	24	2	0	2	25	10010217	10010194	3.6	35.6
FBtr0333799	3L	91.667	24	2	0	133	156	167901	167924	3.6	35.6
FBtr0333799	3L	100.000	19	0	0	47	65	4734699	4734717	3.6	35.6
FBtr0333799	2R	100.000	19	0	0	1012	1030	21025925	21025907	3.6	35.6
