qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
FBtr0346270	X	100.000	1037	0	0	1	1037	11135916	11134880	0.0	1871
FBtr0346270	X	100.000	816	0	0	1283	2098	11133365	11132550	0.0	1472
FBtr0346270	X	100.000	321	0	0	2098	2418	11131300	11130980	7.72e-164	580
FBtr0346270	X	99.603	252	1	0	1035	1286	11133689	11133438	9.42e-125	451
FBtr0346270	X	89.474	38	4	0	2024	2061	10617892	10617855	8.87e-05	51.8
FBtr0346270	X	84.444	45	7	0	2024	2068	7665449	7665493	3.10e-04	50.9
FBtr0346270	X	96.552	29	1	0	2024	2052	11423840	11423868	0.001	49.1
FBtr0346270	X	84.091	44	7	0	1094	1137	11581238	11581281	0.001	49.1
FBtr0346270	X	88.571	35	4	0	2024	2058	6126684	6126650	0.004	46.4
FBtr0346270	X	93.103	29	2	0	2024	2052	3083723	3083695	0.013	44.6
FBtr0346270	X	93.103	29	2	0	2024	2052	4078061	4078089	0.013	44.6
FBtr0346270	X	93.103	29	2	0	2024	2052	4078064	4078092	0.013	44.6
FBtr0346270	X	93.103	29	2	0	2024	2052	14824906	14824878	0.013	44.6
FBtr0346270	X	93.103	29	2	0	2024	2052	17692633	17692661	0.013	44.6
FBtr0346270	X	80.851	47	6	1	2023	2069	22464503	22464546	0.046	43.7
FBtr0346270	X	100.000	23	0	0	2026	2048	2305047	2305069	0.046	42.8
FBtr0346270	X	92.857	28	2	0	2024	2051	14824903	14824876	0.046	42.8
FBtr0346270	X	84.615	39	4	1	2023	2061	2635664	2635628	0.16	41.9
FBtr0346270	X	96.000	25	1	0	2029	2053	12893125	12893149	0.16	41.9
FBtr0346270	X	90.000	30	3	0	2025	2054	18566929	18566958	0.16	41.9
FBtr0346270	X	92.593	27	2	0	2026	2052	8510536	8510562	0.16	41.0
FBtr0346270	X	92.593	27	2	0	2025	2051	10243452	10243426	0.16	41.0
FBtr0346270	X	89.655	29	3	0	2023	2051	1246796	1246768	0.56	40.1
FBtr0346270	X	89.655	29	3	0	2024	2052	1994103	1994131	0.56	40.1
FBtr0346270	X	89.655	29	3	0	2025	2053	1994785	1994813	0.56	40.1
FBtr0346270	X	89.655	29	3	0	2024	2052	2589361	2589389	0.56	40.1
FBtr0346270	X	89.655	29	3	0	2024	2052	3083720	3083692	0.56	40.1
FBtr0346270	X	89.655	29	3	0	2024	2052	4625701	4625729	0.56	40.1
FBtr0346270	X	82.927	41	6	1	2031	2070	5368179	5368139	0.56	40.1
FBtr0346270	X	95.833	24	1	0	2024	2047	10182777	10182800	0.56	40.1
FBtr0346270	X	89.655	29	3	0	2024	2052	11423843	11423871	0.56	40.1
FBtr0346270	X	85.294	34	5	0	2019	2052	13215497	13215464	0.56	40.1
FBtr0346270	X	89.655	29	3	0	2024	2052	13869492	13869464	0.56	40.1
FBtr0346270	X	95.833	24	1	0	2029	2052	20501414	20501391	0.56	40.1
FBtr0346270	X	76.471	51	12	0	2024	2074	1506739	1506689	0.56	39.2
FBtr0346270	X	87.097	31	4	0	2024	2054	2839116	2839086	0.56	39.2
FBtr0346270	X	87.097	31	4	0	2022	2052	3100189	3100219	0.56	39.2
FBtr0346270	X	92.308	26	2	0	2153	2178	4777695	4777720	0.56	39.2
FBtr0346270	X	100.000	21	0	0	1891	1911	11835162	11835182	0.56	39.2
FBtr0346270	X	92.308	26	2	0	2027	2052	13851251	13851226	0.56	39.2
FBtr0346270	X	100.000	21	0	0	2101	2121	20172347	20172327	0.56	39.2
FBtr0346270	X	100.000	21	0	0	2101	2121	20179510	20179490	0.56	39.2
FBtr0346270	X	100.000	21	0	0	2101	2121	20187385	20187365	0.56	39.2
FBtr0346270	X	100.000	21	0	0	2101	2121	20195119	20195099	0.56	39.2
FBtr0346270	X	100.000	21	0	0	2101	2121	20202835	20202815	0.56	39.2
FBtr0346270	X	100.000	21	0	0	2101	2121	20210505	20210485	0.56	39.2
FBtr0346270	X	100.000	21	0	0	2101	2121	20218157	20218137	0.56	39.2
FBtr0346270	X	100.000	21	0	0	2101	2121	20225892	20225872	0.56	39.2
FBtr0346270	X	92.308	26	2	0	2027	2052	20565175	20565200	0.56	39.2
FBtr0346270	X	87.097	31	4	0	2022	2052	21417240	21417270	0.56	39.2
FBtr0346270	X	79.070	43	9	0	2026	2068	3700790	3700832	2.0	38.3
FBtr0346270	X	95.652	23	1	0	2026	2048	3762735	3762757	2.0	38.3
FBtr0346270	X	95.652	23	1	0	2026	2048	5034767	5034789	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2025	2052	5201421	5201394	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2025	2052	5235831	5235858	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2024	2051	6126600	6126573	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2025	2052	6126602	6126575	2.0	38.3
FBtr0346270	X	95.652	23	1	0	1889	1911	6243778	6243756	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2024	2051	7702575	7702602	2.0	38.3
FBtr0346270	X	90.000	30	2	1	1883	1912	8404896	8404868	2.0	38.3
FBtr0346270	X	95.652	23	1	0	1890	1912	10618044	10618022	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2025	2052	10618179	10618152	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2021	2048	11834752	11834779	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2025	2052	12515230	12515257	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2026	2053	12702325	12702298	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2020	2047	13070015	13070042	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2024	2051	13300920	13300947	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2024	2051	13300923	13300950	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2025	2052	13884344	13884317	2.0	38.3
FBtr0346270	X	84.848	33	5	0	2019	2051	16120122	16120090	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2025	2052	16198859	16198832	2.0	38.3
FBtr0346270	X	95.652	23	1	0	2026	2048	16601608	16601630	2.0	38.3
FBtr0346270	X	89.286	28	3	0	2025	2052	17823814	17823787	2.0	38.3
FBtr0346270	X	86.667	30	4	0	2019	2048	1247133	1247104	2.0	37.4
FBtr0346270	X	86.667	30	4	0	2022	2051	2286968	2286997	2.0	37.4
FBtr0346270	X	86.667	30	4	0	1882	1911	2660097	2660126	2.0	37.4
FBtr0346270	X	80.000	40	8	0	2026	2065	3187898	3187937	2.0	37.4
FBtr0346270	X	86.667	30	4	0	2023	2052	3700775	3700804	2.0	37.4
FBtr0346270	X	92.000	25	2	0	2024	2048	5235833	5235857	2.0	37.4
FBtr0346270	X	92.000	25	2	0	2024	2048	7825463	7825487	2.0	37.4
FBtr0346270	X	92.000	25	2	0	1045	1069	8526470	8526446	2.0	37.4
FBtr0346270	X	82.857	35	6	0	1879	1913	8912643	8912677	2.0	37.4
FBtr0346270	X	86.667	30	4	0	2026	2055	11290662	11290691	2.0	37.4
FBtr0346270	X	82.857	35	6	0	2024	2058	11406338	11406372	2.0	37.4
FBtr0346270	X	86.667	30	4	0	517	546	12038576	12038547	2.0	37.4
FBtr0346270	X	82.857	35	6	0	2024	2058	12161415	12161381	2.0	37.4
FBtr0346270	X	92.000	25	2	0	2028	2052	12363566	12363590	2.0	37.4
FBtr0346270	X	92.000	25	2	0	2024	2048	12702324	12702300	2.0	37.4
FBtr0346270	X	86.667	30	4	0	2023	2052	13851252	13851223	2.0	37.4
FBtr0346270	X	86.667	30	4	0	2024	2053	13993135	13993164	2.0	37.4
FBtr0346270	X	100.000	20	0	0	1891	1910	15390085	15390066	2.0	37.4
FBtr0346270	X	92.000	25	2	0	2024	2048	17823812	17823788	2.0	37.4
FBtr0346270	X	92.000	25	2	0	2024	2048	18566931	18566955	2.0	37.4
FBtr0346270	X	86.667	30	4	0	2023	2052	18585163	18585134	2.0	37.4
FBtr0346270	X	88.889	27	3	0	2026	2052	1987383	1987357	6.8	36.5
FBtr0346270	X	95.455	22	1	0	1890	1911	2529367	2529346	6.8	36.5
FBtr0346270	X	88.889	27	3	0	2026	2052	4078069	4078095	6.8	36.5
FBtr0346270	X	88.889	27	3	0	2026	2052	4625676	4625702	6.8	36.5
FBtr0346270	X	88.889	27	3	0	2026	2052	4625700	4625726	6.8	36.5
FBtr0346270	X	84.375	32	5	0	2024	2055	7689075	7689044	6.8	36.5
FBtr0346270	X	88.889	27	3	0	2026	2052	8510533	8510559	6.8	36.5
FBtr0346270	X	88.889	27	3	0	2026	2052	8510539	8510565	6.8	36.5
FBtr0346270	X	88.889	27	3	0	2026	2052	8776110	8776136	6.8	36.5
FBtr0346270	X	88.889	27	3	0	1538	1564	11883462	11883436	6.8	36.5
FBtr0346270	X	88.889	27	3	0	1433	1459	11912328	11912302	6.8	36.5
FBtr0346270	X	77.083	48	8	1	2025	2072	12161420	12161376	6.8	36.5
FBtr0346270	X	77.083	48	8	1	2025	2069	12363566	12363613	6.8	36.5
FBtr0346270	X	88.889	27	3	0	2026	2052	13851246	13851220	6.8	36.5
FBtr0346270	X	88.889	27	3	0	2026	2052	13869493	13869467	6.8	36.5
FBtr0346270	X	88.889	27	3	0	767	793	14152056	14152082	6.8	36.5
FBtr0346270	X	95.455	22	1	0	2026	2047	14455315	14455336	6.8	36.5
FBtr0346270	X	88.889	27	3	0	2024	2050	14824900	14824874	6.8	36.5
FBtr0346270	X	88.889	27	3	0	2026	2052	14961651	14961625	6.8	36.5
FBtr0346270	X	84.375	32	5	0	2021	2052	15421541	15421510	6.8	36.5
FBtr0346270	X	95.455	22	1	0	544	565	18894819	18894798	6.8	36.5
FBtr0346270	X	88.889	27	3	0	2026	2052	19153297	19153271	6.8	36.5
FBtr0346270	X	88.889	27	3	0	2026	2052	19303909	19303883	6.8	36.5
FBtr0346270	X	95.455	22	1	0	1890	1911	19537360	19537339	6.8	36.5
FBtr0346270	X	95.455	22	1	0	1890	1911	19537363	19537342	6.8	36.5
FBtr0346270	X	88.889	27	3	0	2026	2052	20501414	20501388	6.8	36.5
FBtr0346270	X	88.889	27	3	0	2024	2050	21056545	21056519	6.8	36.5
FBtr0346270	X	95.455	22	1	0	1890	1911	21066983	21067004	6.8	36.5
FBtr0346270	X	95.455	22	1	0	1890	1911	21066986	21067007	6.8	36.5
FBtr0346270	X	95.455	22	1	0	2027	2048	21781995	21781974	6.8	36.5
FBtr0346270	X	91.667	24	2	0	2024	2047	2589373	2589396	6.8	35.6
FBtr0346270	X	91.667	24	2	0	2028	2051	3248853	3248830	6.8	35.6
FBtr0346270	X	92.308	26	1	1	2024	2049	4428835	4428859	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	4523895	4523867	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	4625695	4625723	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	4698635	4698663	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	4768846	4768818	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	4903667	4903695	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2026	2054	5034764	5034792	6.8	35.6
FBtr0346270	X	82.353	34	6	0	1877	1910	5080469	5080436	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	5201419	5201391	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	5291536	5291564	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	5291539	5291567	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	5291557	5291585	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	5291560	5291588	6.8	35.6
FBtr0346270	X	91.667	24	2	0	1153	1176	5667322	5667345	6.8	35.6
FBtr0346270	X	92.308	26	1	1	60	85	6370119	6370095	6.8	35.6
FBtr0346270	X	91.667	24	2	0	2024	2047	7646870	7646893	6.8	35.6
FBtr0346270	X	87.097	31	3	1	1890	1920	7688103	7688074	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7689078	7689050	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7689081	7689053	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7689084	7689056	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7689087	7689059	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7689090	7689062	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7689093	7689065	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7689096	7689068	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7689099	7689071	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7689102	7689074	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7689105	7689077	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7689108	7689080	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7702548	7702576	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7702551	7702579	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7702554	7702582	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7702557	7702585	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7702560	7702588	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7702563	7702591	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7702566	7702594	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	7702569	7702597	6.8	35.6
FBtr0346270	X	77.273	44	10	0	2025	2068	8173094	8173051	6.8	35.6
FBtr0346270	X	91.667	24	2	0	1888	1911	8608297	8608320	6.8	35.6
FBtr0346270	X	91.667	24	2	0	2025	2048	8633552	8633529	6.8	35.6
FBtr0346270	X	86.207	29	4	0	2024	2052	8873357	8873329	6.8	35.6
