qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
FBtr0073680	X	100.000	776	0	0	79	854	12549410	12550185	0.0	1400
FBtr0073680	X	100.000	161	0	0	854	1014	12550366	12550526	2.70e-77	291
FBtr0073680	X	66.538	780	247	9	52	824	12267320	12268092	1.08e-50	203
FBtr0073680	X	100.000	80	0	0	1	80	12549271	12549350	2.54e-33	145
FBtr0073680	X	76.471	51	12	0	382	432	1251191	1251141	0.27	39.2
FBtr0073680	X	87.097	31	4	0	398	428	16507569	16507599	0.27	39.2
FBtr0073680	X	82.353	34	6	0	404	437	6551822	6551855	3.3	35.6
FBtr0073680	X	91.667	24	2	0	422	445	8774896	8774919	3.3	35.6
FBtr0073680	X	91.667	24	2	0	924	947	17464250	17464227	3.3	35.6
FBtr0073680	3R	71.133	821	235	2	45	864	26883562	26882743	1.70e-111	406
FBtr0073680	3R	65.945	831	274	7	76	903	1252680	1251856	1.31e-49	200
FBtr0073680	3R	79.245	53	10	1	406	458	2184568	2184619	0.022	43.7
FBtr0073680	3R	100.000	23	0	0	966	988	19071017	19070995	0.022	42.8
FBtr0073680	3R	64.179	201	72	0	549	749	12122628	12122828	0.27	39.2
FBtr0073680	3R	95.833	24	0	1	967	989	24641406	24641429	3.3	36.5
FBtr0073680	3R	91.667	24	2	0	971	994	1403892	1403915	3.3	35.6
FBtr0073680	3R	82.353	34	6	0	404	437	7789963	7789996	3.3	35.6
FBtr0073680	2L	66.437	870	270	9	47	905	17555544	17554686	2.22e-59	233
FBtr0073680	2L	67.447	470	147	4	271	737	2647390	2646924	2.54e-33	146
FBtr0073680	2L	82.857	35	6	0	398	432	5712672	5712706	0.95	37.4
FBtr0073680	2L	88.889	27	3	0	966	992	12661715	12661741	3.3	36.5
FBtr0073680	2L	95.455	22	1	0	978	999	13370416	13370395	3.3	36.5
FBtr0073680	2L	100.000	19	0	0	479	497	11240547	11240529	3.3	35.6
FBtr0073680	2R	87.879	33	4	0	406	438	1857296	1857264	0.022	42.8
FBtr0073680	2R	87.500	32	4	0	406	437	15383782	15383751	0.078	41.0
FBtr0073680	2R	95.455	22	1	0	966	987	3666952	3666931	3.3	36.5
FBtr0073680	2R	81.579	38	5	1	956	993	14056745	14056710	3.3	35.6
FBtr0073680	Uextra	86.667	30	4	0	968	997	13790829	13790858	0.95	37.4
FBtr0073680	Uextra	84.375	32	5	0	966	997	28961298	28961267	3.3	36.5
FBtr0073680	Uextra	83.333	36	5	1	895	930	1528151	1528117	3.3	35.6
FBtr0073680	Uextra	83.333	36	5	1	895	930	4134807	4134841	3.3	35.6
FBtr0073680	Uextra	83.333	36	5	1	895	930	5738743	5738777	3.3	35.6
FBtr0073680	Uextra	83.333	36	5	1	895	930	7531543	7531509	3.3	35.6
FBtr0073680	Uextra	83.333	36	5	1	895	930	13102933	13102967	3.3	35.6
FBtr0073680	Uextra	91.667	24	2	0	966	989	13789586	13789609	3.3	35.6
FBtr0073680	Uextra	91.667	24	2	0	966	989	13790587	13790610	3.3	35.6
FBtr0073680	Uextra	91.667	24	2	0	966	989	13790659	13790682	3.3	35.6
FBtr0073680	Uextra	83.333	36	5	1	895	930	14178089	14178055	3.3	35.6
FBtr0073680	Uextra	83.333	36	5	1	895	930	16531578	16531612	3.3	35.6
FBtr0073680	Uextra	83.333	36	5	1	895	930	24432300	24432334	3.3	35.6
FBtr0073680	Uextra	91.667	24	2	0	966	989	28594887	28594864	3.3	35.6
FBtr0073680	Uextra	91.667	24	2	0	966	989	28609863	28609840	3.3	35.6
FBtr0073680	Uextra	91.667	24	2	0	966	989	28718762	28718785	3.3	35.6
FBtr0073680	3L	100.000	20	0	0	404	423	2567492	2567473	0.95	37.4
FBtr0073680	3L	95.455	22	1	0	281	302	1143543	1143522	3.3	36.5
FBtr0073680	3L	88.889	27	3	0	401	427	8039801	8039827	3.3	36.5
FBtr0073680	3L	100.000	19	0	0	91	109	2175142	2175160	3.3	35.6
FBtr0073680	3L	100.000	19	0	0	164	182	12899536	12899518	3.3	35.6
FBtr0073680	U	83.333	36	5	1	895	930	7556698	7556732	3.3	35.6
