qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
FBtr0083563	3R	100.000	542	0	0	470	1011	18227958	18228499	0.0	978
FBtr0083563	3R	100.000	211	0	0	65	275	18226728	18226938	1.65e-104	381
FBtr0083563	3R	100.000	199	0	0	274	472	18227704	18227902	5.39e-98	360
FBtr0083563	3R	100.000	66	0	0	1	66	18226501	18226566	8.57e-26	120
FBtr0083563	3R	89.286	28	3	0	927	954	6559594	6559567	0.80	38.3
FBtr0083563	3R	95.238	21	1	0	967	987	6289258	6289278	9.8	34.6
FBtr0083563	3R	95.238	21	1	0	170	190	13458748	13458768	9.8	34.6
FBtr0083563	3R	88.462	26	3	0	788	813	15207906	15207931	9.8	34.6
FBtr0083563	3R	81.818	33	6	0	373	405	21894278	21894246	9.8	33.7
FBtr0083563	3L	64.952	622	190	11	280	884	12972814	12973424	3.64e-24	115
FBtr0083563	3L	70.000	120	36	0	100	219	12972634	12972753	2.99e-06	55.4
FBtr0083563	3L	92.000	25	2	0	115	139	15070535	15070559	0.80	37.4
FBtr0083563	3L	95.238	21	1	0	124	144	20243413	20243433	9.8	34.6
FBtr0083563	3L	84.375	32	3	1	822	851	9663951	9663982	9.8	33.7
FBtr0083563	3L	100.000	18	0	0	735	752	14755824	14755807	9.8	33.7
FBtr0083563	X	84.211	38	6	0	731	768	16318399	16318362	0.019	42.8
FBtr0083563	X	78.000	50	9	1	111	160	4624905	4624858	0.23	39.2
FBtr0083563	X	92.000	25	2	0	319	343	8246667	8246691	0.80	37.4
FBtr0083563	X	88.462	26	3	0	77	102	1406759	1406734	9.8	34.6
FBtr0083563	X	89.286	28	2	1	264	290	6817147	6817120	9.8	34.6
FBtr0083563	X	95.238	21	1	0	949	969	11844462	11844442	9.8	34.6
FBtr0083563	X	95.238	21	1	0	186	206	16120629	16120609	9.8	34.6
FBtr0083563	X	82.857	35	5	1	94	127	4913731	4913765	9.8	33.7
FBtr0083563	2R	86.207	29	4	0	429	457	14168915	14168887	2.8	35.6
FBtr0083563	2R	95.238	21	1	0	15	35	24556020	24556000	9.8	34.6
FBtr0083563	2L	88.462	26	3	0	544	569	2692473	2692498	9.8	34.6
FBtr0083563	2L	95.238	21	1	0	956	976	17610692	17610712	9.8	34.6
FBtr0083563	2L	91.304	23	2	0	654	676	13736471	13736493	9.8	33.7
FBtr0083563	2L	85.714	28	4	0	162	189	14064560	14064587	9.8	33.7
