qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
FBtr0085437	X	88.191	1592	164	4	44	1632	16419241	16417671	0.0	2028
FBtr0085437	X	83.157	1793	203	9	1	1784	12072640	12070938	0.0	1921
FBtr0085437	X	84.492	187	29	0	69	255	20746144	20746330	1.60e-51	207
FBtr0085437	X	89.147	129	14	0	1606	1734	16417529	16417401	1.16e-40	170
FBtr0085437	X	95.455	22	1	0	531	552	18527900	18527879	6.0	36.5
FBtr0085437	3R	100.000	589	0	0	690	1278	25143233	25142645	0.0	1063
FBtr0085437	3R	100.000	345	0	0	140	484	25144339	25143995	6.35e-177	623
FBtr0085437	3R	100.000	228	0	0	1547	1774	25141893	25141666	2.08e-113	412
FBtr0085437	3R	100.000	145	0	0	1	145	25145096	25144952	2.38e-68	262
FBtr0085437	3R	100.000	142	0	0	1279	1420	25142582	25142441	1.01e-66	257
FBtr0085437	3R	100.000	136	0	0	555	690	25143692	25143557	1.83e-63	246
FBtr0085437	3R	99.259	135	1	0	1415	1549	25142092	25141958	2.71e-61	240
FBtr0085437	3R	100.000	74	0	0	482	555	25143864	25143791	8.32e-30	134
FBtr0085437	3R	100.000	47	0	0	1772	1818	25141603	25141557	3.78e-15	86.0
FBtr0085437	3R	75.641	78	19	0	1017	1094	5455275	5455198	6.40e-06	56.3
FBtr0085437	3R	87.805	41	5	0	1322	1362	5455027	5454987	7.80e-05	52.7
FBtr0085437	3R	71.111	90	26	0	852	941	5455326	5455237	0.003	46.4
FBtr0085437	3R	78.182	55	12	0	883	937	25142926	25142872	0.003	46.4
FBtr0085437	3R	78.182	55	12	0	997	1051	25143040	25142986	0.003	46.4
FBtr0085437	3R	68.595	121	34	2	1120	1238	5455229	5455111	0.040	42.8
FBtr0085437	3R	100.000	21	0	0	1583	1603	23777177	23777197	0.49	39.2
FBtr0085437	3R	95.455	22	1	0	1285	1306	9952493	9952472	6.0	36.5
FBtr0085437	3R	75.806	62	11	3	35	96	1522884	1522827	6.0	35.6
FBtr0085437	3R	91.667	24	2	0	896	919	3759925	3759948	6.0	35.6
FBtr0085437	2R	87.500	32	3	1	1676	1707	14164436	14164406	1.7	37.4
FBtr0085437	2R	92.308	26	1	1	226	250	9594442	9594467	6.0	35.6
FBtr0085437	2L	76.923	52	11	1	870	920	14594757	14594706	1.7	37.4
FBtr0085437	2L	92.000	25	2	0	1777	1801	22961289	22961313	1.7	37.4
FBtr0085437	2L	86.207	29	4	0	1604	1632	5671515	5671487	6.0	35.6
FBtr0085437	2L	86.207	29	4	0	655	683	7616221	7616249	6.0	35.6
FBtr0085437	U	95.455	22	1	0	859	880	2218195	2218174	6.0	36.5
FBtr0085437	3L	75.000	64	10	3	1572	1632	2767471	2767531	6.0	36.5
FBtr0085437	3L	95.455	22	1	0	1059	1080	11512941	11512920	6.0	36.5
FBtr0085437	3L	91.667	24	2	0	1610	1633	1614740	1614717	6.0	35.6
FBtr0085437	3L	87.879	33	2	2	320	351	1644605	1644574	6.0	35.6
