qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
FBtr0346587	2L	100.000	1641	0	0	31	1671	21170188	21171828	0.0	2960
FBtr0346587	2L	99.609	511	2	0	1665	2175	21171888	21172398	0.0	913
FBtr0346587	2L	100.000	191	0	0	2174	2364	21172458	21172648	3.31e-93	345
FBtr0346587	2L	100.000	35	0	0	1	35	21168772	21168806	1.61e-08	64.4
FBtr0346587	2L	89.286	28	3	0	561	588	6290213	6290186	2.2	38.3
FBtr0346587	2L	95.455	22	1	0	1883	1904	18641176	18641197	7.8	36.5
FBtr0346587	2L	82.353	34	6	0	1779	1812	9647760	9647727	7.8	35.6
FBtr0346587	3R	73.927	2144	552	3	217	2358	6963163	6965301	0.0	1340
FBtr0346587	3R	86.111	36	4	1	1900	1934	24826865	24826900	0.64	40.1
FBtr0346587	3R	92.308	26	2	0	149	174	20655536	20655511	0.64	39.2
FBtr0346587	3R	95.455	22	1	0	476	497	14311488	14311509	7.8	36.5
FBtr0346587	3R	73.333	60	13	1	602	658	12466213	12466272	7.8	35.6
FBtr0346587	X	79.545	44	9	0	1887	1930	10128785	10128742	0.64	40.1
FBtr0346587	X	95.455	22	1	0	1103	1124	8135681	8135660	7.8	36.5
FBtr0346587	X	91.667	24	2	0	355	378	9206258	9206235	7.8	35.6
FBtr0346587	3L	92.308	26	2	0	240	265	4825419	4825394	0.64	39.2
FBtr0346587	3L	92.000	25	2	0	1028	1052	10677295	10677319	2.2	37.4
FBtr0346587	2R	80.952	42	7	1	1900	1941	4174920	4174880	2.2	37.4
FBtr0346587	2R	91.667	24	2	0	1985	2008	4166862	4166839	7.8	35.6
